id,state,animal,plant,palabras,ip_address
970,Texas,Phalaropus lobatus,Physconia detersa (Nyl.) Poelt,ut odio cras mi pede,51.187.181.167
971,Alabama,Toxostoma curvirostre,Amaranthus tamaulipensis Henrickson,venenatis tristique fusce congue,68.10.130.72
972,Florida,Callorhinus ursinus,Lycium carolinianum Walter var. carolinianum,vulputate luctus cum sociis natoque,233.173.48.179
973,South Carolina,Antidorcas marsupialis,Diplotaxis siifolia Kuntze,nisi vulputate nonummy maecenas,139.242.200.34
974,Nevada,Aegypius tracheliotus,Arctostaphylos pungens Kunth,magnis dis parturient,116.95.193.201
975,Illinois,Merops nubicus,Astragalus argophyllus Nutt. var. panguicensis (M.E. Jones) M.E. Jones,consequat nulla nisl nunc,153.72.38.58
976,California,Recurvirostra avosetta,Piper aduncum L.,molestie hendrerit at vulputate,148.11.47.64
977,California,Varanus salvator,Hackelia californica (A. Gray) I.M. Johnst.,augue quam sollicitudin vitae consectetuer,120.91.197.183
978,Maryland,Lamprotornis chalybaeus,Alchemilla glabra Neyngenfind,faucibus accumsan odio,5.68.49.163
979,New York,Felis wiedi or Leopardus weidi,Carex melanostachya M. Bieb. ex Willd.,luctus rutrum nulla,82.123.177.140
980,New York,Ovis ammon,Adansonia L.,ipsum primis in faucibus,173.113.33.159
981,Georgia,Macropus eugenii,Clappia A. Gray,est phasellus sit amet erat,232.121.203.212
982,North Carolina,Certotrichas paena,Phlox diffusa Benth. ssp. scleranthifolia (Rydb.) Wherry,semper interdum mauris ullamcorper purus,209.21.61.29
983,Illinois,Egretta thula,Phyla fruticosa (Mill.) Kennedy,volutpat erat quisque erat eros,137.195.83.99
984,Washington,Phascogale calura,Clusia gundlachii Stahl,curae mauris viverra diam,245.229.222.82
985,Virginia,Pytilia melba,Eriogonum umbellatum Torr. var. chlorothamnus Reveal,interdum venenatis turpis,146.30.233.55
986,Texas,Cacatua galerita,Echinochloa crus-galli (L.) P. Beauv.,posuere cubilia curae nulla,84.120.237.90
987,California,Larus sp.,Aristida purpurea Nutt. var. perplexa Allred & Valdés-Reyna,vestibulum ante ipsum primis in,125.221.76.207
988,Texas,Castor fiber,Polemonium occidentale Greene,enim in tempor turpis,188.194.126.220
989,Kansas,Varanus sp.,Bifora Hoffm.,tincidunt nulla mollis molestie,124.208.120.51
990,Maryland,Sciurus vulgaris,Alectoria sarmentosa (Ach.) Ach. ssp. sarmentosa,porttitor pede justo,166.136.96.88
991,California,Stercorarius longicausus,Oxytropis deflexa (Pall.) DC.,libero convallis eget eleifend luctus,141.12.15.95
992,Tennessee,Crotalus adamanteus,Opuntia ×wootonii Griffiths,eros viverra eget congue eget,111.131.202.78
993,Texas,Marmota monax,Poa pratensis L.,magna vulputate luctus cum,94.226.43.227
994,Maryland,Butorides striatus,Leptogium teretiusculum (Wallr.) Arnold,aliquam quis turpis eget,231.250.24.236
995,Pennsylvania,Vulpes cinereoargenteus,Costus woodsonii Maas,dolor morbi vel lectus,31.157.249.8
996,California,Haematopus ater,Lepidium ramosissimum A. Nelson var. divergens (Osterh.) Rollins,proin risus praesent lectus,152.196.109.63
997,Tennessee,Tockus erythrorhyncus,Frasera albicaulis Douglas ex Griseb. var. modocensis (H. St. John) N.H. Holmgren,primis in faucibus orci,16.109.88.197
998,Texas,Nyctea scandiaca,Symphyotrichum foliaceum (Lindl. ex DC.) G.L. Nesom var. apricum (A. Gray) G.L. Nesom,metus sapien ut,195.133.39.252
999,Missouri,Anitibyx armatus,Elodea bifoliata H. St. John,amet nunc viverra,253.36.21.133
1000,Florida,Anas punctata,Leptogium rugosum Sierk,id mauris vulputate elementum,51.159.97.172
